left_id,left_bits,right_id,right_bits,xor_bits,xor_member,xor_member_id
V07,10100010111,V11,11100010110,01000000001,True,V03
V07,10100010111,V12,11101010010,01001000101,False,
V08,10101010011,V00,00000000000,10101010011,True,V08
V08,10101010011,V01,00000010101,10101000110,False,
V08,10101010011,V02,00001010001,10100000010,False,
V08,10101010011,V03,01000000001,11101010010,True,V12
V08,10101010011,V04,01000010100,11101000111,False,
V08,10101010011,V05,01001010000,11100000011,False,
V08,10101010011,V06,10001000110,00100010101,False,
V08,10101010011,V07,10100010111,00001000100,False,
V08,10101010011,V08,10101010011,00000000000,True,V00
V08,10101010011,V09,11000000011,01101010000,False,
V08,10101010011,V10,11001000111,01100010100,False,
V08,10101010011,V11,11100010110,01001000101,False,
V08,10101010011,V12,11101010010,01000000001,True,V03
V09,11000000011,V00,00000000000,11000000011,True,V09
V09,11000000011,V01,00000010101,11000010110,False,
V09,11000000011,V02,00001010001,11001010010,False,
V09,11000000011,V03,01000000001,10000000010,False,
V09,11000000011,V04,01000010100,10000010111,False,
V09,11000000011,V05,01001010000,10001010011,False,
V09,11000000011,V06,10001000110,01001000101,False,
V09,11000000011,V07,10100010111,01100010100,False,
V09,11000000011,V08,10101010011,01101010000,False,
V09,11000000011,V09,11000000011,00000000000,True,V00
V09,11000000011,V10,11001000111,00001000100,False,
V09,11000000011,V11,11100010110,00100010101,False,
V09,11000000011,V12,11101010010,00101010001,False,
V10,11001000111,V00,00000000000,11001000111,True,V10
V10,11001000111,V01,00000010101,11001010010,False,
V10,11001000111,V02,00001010001,11000010110,False,
V10,11001000111,V03,01000000001,10001000110,True,V06
V10,11001000111,V04,01000010100,10001010011,False,
V10,11001000111,V05,01001010000,10000010111,False,
V10,11001000111,V06,10001000110,01000000001,True,V03
V10,11001000111,V07,10100010111,01101010000,False,
V10,11001000111,V08,10101010011,01100010100,False,
V10,11001000111,V09,11000000011,00001000100,False,
V10,11001000111,V10,11001000111,00000000000,True,V00
V10,11001000111,V11,11100010110,00101010001,False,
V10,11001000111,V12,11101010010,00100010101,False,
V11,11100010110,V00,00000000000,11100010110,True,V11
V11,11100010110,V01,00000010101,11100000011,False,
V11,11100010110,V02,00001010001,11101000111,False,
V11,11100010110,V03,01000000001,10100010111,True,V07
V11,11100010110,V04,01000010100,10100000010,False,
V11,11100010110,V05,01001010000,10101000110,False,
V11,11100010110,V06,10001000110,01101010000,False,
V11,11100010110,V07,10100010111,01000000001,True,V03
V11,11100010110,V08,10101010011,01001000101,False,
V11,11100010110,V09,11000000011,00100010101,False,
V11,11100010110,V10,11001000111,00101010001,False,
V11,11100010110,V11,11100010110,00000000000,True,V00
V11,11100010110,V12,11101010010,00001000100,False,
V12,11101010010,V00,00000000000,11101010010,True,V12
V12,11101010010,V01,00000010101,11101000111,False,
V12,11101010010,V02,00001010001,11100000011,False,
V12,11101010010,V03,01000000001,10101010011,True,V08
V12,11101010010,V04,01000010100,10101000110,False,
V12,11101010010,V05,01001010000,10100000010,False,
V12,11101010010,V06,10001000110,01100010100,False,
V12,11101010010,V07,10100010111,01001000101,False,
V12,11101010010,V08,10101010011,01000000001,True,V03
V12,11101010010,V09,11000000011,00101010001,False,
V12,11101010010,V10,11001000111,00100010101,False,
V12,11101010010,V11,11100010110,00001000100,False,
V12,11101010010,V12,11101010010,00000000000,True,V00
