left_id,left_bits,right_id,right_bits,xor_bits,xor_member,xor_member_id,left_fields,right_fields,xor_fields
V01,00000010101,V02,00001010001,00001000100,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V02,00001010001,V12,11101010010,11100000011,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V03,01000000001,V09,11000000011,10000000010,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V04,01000010100,V02,00001010001,01001000101,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V04,01000010100,V05,01001010000,00001000100,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V04,01000010100,V06,10001000110,11001010010,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10
V04,01000010100,V07,10100010111,11100000011,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V04,01000010100,V08,10101010011,11101000111,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
V04,01000010100,V09,11000000011,10000010111,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11
V04,01000010100,V10,11001000111,10001010011,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11
V04,01000010100,V11,11100010110,10100000010,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V04,01000010100,V12,11101010010,10101000110,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V05,01001010000,V01,00000010101,01001000101,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V05,01001010000,V04,01000010100,00001000100,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V05,01001010000,V06,10001000110,11000010110,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10
V05,01001010000,V07,10100010111,11101000111,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
V05,01001010000,V08,10101010011,11100000011,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V05,01001010000,V09,11000000011,10001010011,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11
V05,01001010000,V10,11001000111,10000010111,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11
V05,01001010000,V11,11100010110,10101000110,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V05,01001010000,V12,11101010010,10100000010,False,,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V06,10001000110,V01,00000010101,10001010011,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11
V06,10001000110,V02,00001010001,10000010111,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11
V06,10001000110,V04,01000010100,11001010010,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10
V06,10001000110,V05,01001010000,11000010110,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10
V06,10001000110,V07,10100010111,00101010001,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=00 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01
V06,10001000110,V08,10101010011,00100010101,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01
V06,10001000110,V09,11000000011,01001000101,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V06,10001000110,V11,11100010110,01101010000,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=01 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00
V06,10001000110,V12,11101010010,01100010100,False,,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=01 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00
V07,10100010111,V01,00000010101,10100000010,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V07,10100010111,V02,00001010001,10101000110,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V07,10100010111,V04,01000010100,11100000011,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V07,10100010111,V05,01001010000,11101000111,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
V07,10100010111,V06,10001000110,00101010001,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=00 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01
V07,10100010111,V08,10101010011,00001000100,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V07,10100010111,V09,11000000011,01100010100,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00
V07,10100010111,V10,11001000111,01101010000,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=01 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00
V07,10100010111,V12,11101010010,01001000101,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V08,10101010011,V01,00000010101,10101000110,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V08,10101010011,V02,00001010001,10100000010,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V08,10101010011,V04,01000010100,11101000111,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
V08,10101010011,V05,01001010000,11100000011,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V08,10101010011,V06,10001000110,00100010101,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=00 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01
V08,10101010011,V07,10100010111,00001000100,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V08,10101010011,V09,11000000011,01101010000,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00
V08,10101010011,V10,11001000111,01100010100,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=01 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00
V08,10101010011,V11,11100010110,01001000101,False,,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V09,11000000011,V01,00000010101,11000010110,False,,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10
V09,11000000011,V02,00001010001,11001010010,False,,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10
V09,11000000011,V03,01000000001,10000000010,False,,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V09,11000000011,V04,01000010100,10000010111,False,,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11
